,Shoes_Description,Shoes_brand,Shoes_Prices
98,Nobelite White Casual Sports Running Shoes For Men,Nobelite,₹449
99,SIMBA PRO Running Shoes For Men,CAMPUS,"₹1,249"
100,"Wndr,Cosko-13 Full Black Boys School Shoes,Running Shoe...",asian,₹699
101,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",asian,₹799
102,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹799
103,Sneakers For Men,RED TAPE,"₹1,039"
104,Trendy Sports Running Running Shoes For Men,BRUTON,₹389
105,CRYSTA PRO Casuals For Men,CAMPUS,₹699
106,"Thar-01 Blue Sneakers,Sports,Training,Gym,Walking,Styli...",asian,₹759
107,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹419
108,Wind-04 Walking Shoes For Men,asian,₹599
109,OSLO PRO Running Shoes For Men,CAMPUS,"₹1,349"
110,"Stylish Comfortable Lightweight, Breathable Walking Sho...",BIRDE,₹449
111,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹999
112,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,119"
113,Walking Shoes For Men,RED TAPE,"₹1,159"
114,"RAINBOW AEROFOAM and EZSUPPORT lightweight, comfortable...",JQR,₹749
115,Lightweight Pack Of 1 Trendy Sneakers Sneakers For Men,BRUTON,₹149
116,FIRST Running Shoes For Men,CAMPUS,"₹1,399"
117,"Tarzan-11 White Sneakers,Casual,Canvas,Loafers High Top...",asian,₹799
118,Hustle V2 Sneakers For Men,PUMA,"₹1,199"
119,GEL-CONTEND 4B+ Running Shoes For Men,Asics,"₹1,991"
120,Lite Sports Shoes Running Shoes For Men,BRUTON,₹549
121,"ZOOM Sports shoes, Running, Walking, Lightweight, Gym, ...",JQR,₹999
122,Running Shoes For Men,asian,"₹1,299"
123,SM-734 Sneakers For Men,Sparx,₹666
124,"Stylish Comfortable Lightweight, Breathable Walking Sho...",BIRDE,₹449
125,DSC BEAMER CRICKET5 SHOES SIZE 7 Cricket Shoes For Men,DSC,₹731
126,Sneakers For Men,ATOM,"₹1,289"
127,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
128,Bersache Lightweight Sports Shoes with High Quality Sol...,BERSACHE,₹808
129,Lightweight Sports walking sneaker Trekking Hiking Shoe...,BERSACHE,₹899
130,Sneakers For Men,ATOM,"₹1,289"
131,Alpha Predator Sneakers For Men,ATOM,"₹1,389"
132,Hiking & Trekking Shoes with Anti-Slip and Extra-Comfor...,Unistar,₹579
133,CRYSTA PRO Casuals For Men,CAMPUS,₹699
134,Fit-Man Slip On Sneakers For Men,BRUTON,₹149
135,FIRST Running Shoes For Men,CAMPUS,"₹1,449"
136,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹629
137,Boots For Men,Layasa,₹499
138,"Delta-21 Sports, Walking, Casual, Gym, Running Shoes Fo...",asian,₹849
139,Bersache Casual Shoes with High Quality Sole | Sneakers...,BERSACHE,₹558
140,Sports shoes for men|Stylish Casual sport shoes for men...,Airson,₹599
141,"Stylish Comfortable Lightweight, Breathable Socks Sport...",RGY,₹599
142,ASSG1313 Running Shoes For Men,Abros,"₹1,709"
143,SWIFT RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,162"
144,Designer Loafers For Men,HOTSTYLE,₹379
145,HURRICANE Running Shoes For Men,CAMPUS,₹799
146,XC72 Sneakers For Men,New Balance,"₹7,799"
147,Running Shoes For Men,richerson,"₹1,199"
148,"Moonwalk-01 Sports,Walking,Gym,Casual Slipon,Stylish Wa...",asian,₹669
149,"Signature Sports shoes, Running, Walking, Lightweight, ...",JQR,"₹1,444"
150,1080 Running Shoes For Men,New Balance,"₹10,399"
151,Sports Running Shoes for men | Gym Training Walking Tre...,Airson,₹879
152,ACTIVE RUN Running Shoes For Men,HRX by Hrithik Roshan,₹841
153,Fairweather 2.0 M Training & Gym Shoes For Men,REEBOK,"₹1,999"
154,INTER CEPTOR-3 Running Shoes For Men,Abros,₹799
155,Sneakers For Men,BERSACHE,₹631
156,100% GENUINE LEATHER SHOES Boots For Men,richerson,₹953
157,Men's Fighter 555 Boots For Men,BIG FOX,₹899
158,VELOCITY Running Shoes For Men,HRX by Hrithik Roshan,₹937
159,Sneakers For Men,RED TAPE,"₹1,039"
160,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
161,XC72 Sneakers For Men,New Balance,"₹7,799"
162,"Nobelite Range of Casual, Running, Sports & Sneakers Fo...",Nobelite,₹469
163,RODEO PRO Running Shoes For Men,CAMPUS,₹899
164,OG-D4 Sneakers For Men,CAMPUS,₹699
165,Fashion Lightweight Lace Up Mesh Sneaker Casual Walking...,Arivo,₹419
166,Vegas High Tops For Men,PUMA,"₹2,699"
167,Sneakers For Men,ATOM,"₹1,289"
168,Belter Polyurethane Sea Green UK-6 Cricket Shoes For Me...,DSC,₹821
169,Pacer Fire Sneakers For Men,PUMA,"₹1,421"
170,Alpha Predator Sneakers For Men,ATOM,"₹1,389"
171,Sneakers For Men,ATOM,"₹1,289"
172,FITMAN Loafers For Men,BRUTON,₹149
173,CRYSTA PRO Casuals For Men,CAMPUS,₹699
174,OXYFIT PRO Running Shoes For Men,CAMPUS,₹849
175,Voyager M Running Shoes For Men,REEBOK,"₹1,462"
176,ANTHEM 5 Running Shoes For Men,BROOKS,"₹5,690"
177,"KICK-2 AEROFOAM HYPERBOUNZE FAST Trenddy, lightweight, ...",JQR,"₹1,249"
178,ARIZONA-N Running Shoes For Men,Abros,₹899
179,Jaffa 22 Cricket Leather Shoes for Mens Lime Yellow UK-...,DSC,"₹1,679"
180,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,859"
181,Turbo flight M Running Shoes For Men,REEBOK,"₹1,595"
182,"Walking Sports Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,₹979
183,Epsilon M Casuals For Men,REEBOK,"₹2,262"
184,"ZOOM SPORTFOAM spandex knitted upper lace up,lightweigh...",JQR,₹979
185,MATTY Running Shoes For Women,CAMPUS,₹899
186,FLYER Runner Mesh Running Shoes For Men,PUMA,"₹2,059"
187,Amaze Walker M Casuals For Men,REEBOK,"₹1,559"
188,Walking Shoes For Men,AJANTA,₹599
189,"Bersache Sports Shoes For Men|Grey For Running,Walking,...",BERSACHE,"₹1,299"
190,327 Sneakers For Men,New Balance,"₹6,122"
191,ADRENALINE GTS 22 Running Shoes For Men,BROOKS,"₹7,124"
192,Running Shoes Running Shoes For Men,BRUTON,₹149
193,"Delta-21 Black Sports,Walking,Casual, Running Shoes For...",asian,₹849
194,ANNIE Running Shoes For Women,CAMPUS,"₹1,181"
195,"Chrome-02 Black Sports,Gym,Training,Walking,Stylish Tra...",asian,"₹1,299"
196,Junior Zero1 Sports shoes for Men | Gym Training Walkin...,Airson,"₹1,279"
197,Energy Streak M Casuals For Men,REEBOK,"₹1,566"
198,MAGNITE Running Shoes For Men,CAMPUS,₹799
199,"Wndr,Cosko-13 Full Black Boys School Shoes,Running Shoe...",asian,₹699
200,Sneakers For Men,ATOM,"₹1,289"
201,Sneakers For Men,ATOM,"₹1,289"
202,CriHase 23 Cricket Shoes For Men,ADIDAS,"₹1,999"
203,"Everest-01 Black Sports,Gym,Training,Walking,Stylish Ou...",asian,"₹1,074"
204,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,379"
205,LEAP7X By Liberty BRISK-01 Running Shoes For Men,LIBERTY,₹669
206,Alpha Predator Sneakers For Men,ATOM,"₹1,389"
207,Boots For Men,Layasa,₹499
208,SM-678 Running Shoes For Men,Sparx,"₹1,315"
209,22509-T. Blue Phylon Running Shoes For Men,KILLER,₹899
