,Shoes_Description,Shoes_brand,Shoes_Prices
371,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
372,Delta-14 sports shoes for men | Latest Stylish Casual s...,asian,₹799
373,"Airweave-02 Grey Gym,Sports,Training,Stylish Running Sh...",asian,"₹1,499"
374,"Tarzan-11 White Sneakers,Casual,Canvas,Loafers High Top...",asian,₹799
375,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,389"
376,Premium Attractive Professional Stylish Casual Driving ...,WUGATTI,₹599
377,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹489
378,Women SL-123 Magenta Baby Pink Walking Shoes For Women,Sparx,₹699
379,SWIFT RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,204"
380,Running Shoes For Men,richerson,"₹1,183"
381,Spring Edge Alpha 1 Sneakers For Men,ATOM,"₹1,435"
382,CLUB CULTURE High Tops For Men,HRX by Hrithik Roshan,"₹1,260"
383,Pace Running Shoes For Men,Lakhani Vardaan,"₹1,389"
384,KL8040 Lightweight Comfort Summer Trendy Premium Stylis...,KILLER,₹601
385,Flat Sole Sneakers Shoes for all Day wear with Memory C...,asian,₹649
386,"Signature Sports shoes, Running, Walking, Lightweight, ...",JQR,"₹1,444"
387,"RUMBA Sports shoes, Running, Walking, Lightweight, Gym,...",JQR,"₹1,199"
388,Casual Loafers For Men,AJANTA,₹289
389,SUPER Running Shoes For Men,Abros,"₹2,249"
390,Training & Gym Shoes For Men,XTREAMFEET,"₹1,379"
391,Men's Fighter 555 Boots For Men,BIG FOX,₹684
392,MATTY Running Shoes For Women,CAMPUS,₹839
393,"Oxygen-05 Black Sports Running,Walking,Gym Shoes With P...",asian,"₹1,049"
394,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹327
395,DEMON High-top casual shoe with Flat outsole high Stree...,bacca bucci,"₹1,499"
396,Brown Office Wear & Party Wear Semi Formal shoe for Men...,Averatto,₹679
397,Sneakers For Men,Racter,₹629
398,"MOJ 402 Sports shoes, Running, Walking, Lightweight, Gy...",JQR,₹611
399,Bouncer-05 Running shoes for boys | sports shoes for me...,asian,₹599
400,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,159"
401,PATRIK PRO Running Shoes For Men,CAMPUS,₹989
402,FK- MXO Dailywear Slip On Sneakers For Men,Free Kicks,₹349
403,"MOJ 403 Sports shoes, Running, Walking, Lightweight, Gy...",JQR,₹458
404,"SOFT 003 Sports shoes, Running, Walking, Lightweight, G...",JQR,₹769
405,ANNIE Running Shoes For Women,CAMPUS,₹989
406,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
407,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
408,VELOCITY Running Shoes For Men,HRX by Hrithik Roshan,"₹1,047"
409,"KICK-2 AEROFOAM HYPERBOUNZE FAST Trenddy, lightweight, ...",JQR,"₹1,249"
410,VIBGYOR Running Shoes For Men,CAMPUS,"₹1,039"
411,NORTH PLUS Running Shoes For Men,CAMPUS,"₹1,274"
412,EQUALIZER 4.0 - BAYLOCK Walking Shoes For Men,Skechers,"₹2,699"
413,SIMON PRO Casuals For Men,CAMPUS,₹686
414,Rebound JOY Basketball Shoes For Men,PUMA,"₹2,640"
415,NEO MOTORSPORTS Sneakers For Men,DUCATI,₹969
416,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
417,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹911
418,Prime-01 laceless sports shoes for men | Latest Stylish...,asian,₹599
419,DYNAMIC RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,287"
420,KIZER Running Shoes For Men,CAMPUS,"₹1,439"
421,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
422,VERSABLAST 2 Running Shoes For Men,Asics,"₹3,539"
423,Future-04 laceless sports shoes for men | Latest Stylis...,asian,₹649
424,CozySock Walking Shoes For Women,Kraasa,₹319
425,JAPAN S ST Sneakers For Men,Asics,"₹4,129"
426,"Bersache Sports Shoes For Men| (Blue) For Running,Walki...",BERSACHE,"₹1,113"
427,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹949
428,ZIG DYNAMICA 4 Running Shoes For Men,REEBOK,"₹4,557"
429,CRYSTA PRO Casuals For Men,CAMPUS,₹599
430,"Bersache Sports Shoes For Men|Blue For Running,Walking,...",BERSACHE,₹949
431,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
432,Boston runner M Casuals For Men,REEBOK,"₹1,720"
433,High Tops For Men,RapidBox,₹559
434,"Everest-01 Grey Sports,Gym,Training,Walking,Stylish Out...",asian,₹999
435,CLUB CULTURE Sneakers For Men,HRX by Hrithik Roshan,"₹1,047"
436,KIZER Running Shoes For Men,CAMPUS,"₹1,439"
437,NORTH PLUS Running Shoes For Men,CAMPUS,"₹1,274"
438,MONTON 5.0 Sneakers For Men,U.S. POLO ASSN.,"₹1,499"
439,Bouncer Running Shoes For Men,COLUMBUS,₹493
440,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
441,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
442,Running Shoes For Men,Sparx,"₹1,305"
443,Casual Loafers For Men,AJANTA,₹289
444,ROLLZ Running Shoes For Men,CAMPUS,₹989
445,CLAIRE (Collector's Edition) Casuals For Women,CAMPUS,₹939
446,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
447,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
448,Sports Casual lightweight Running Shoes Canvas Shoes Fo...,BOLTAGO,₹449
449,"Thar-01 White Sneakers,Sports,Training,Gym,Walking,Styl...",asian,₹749
450,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
451,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
452,Megathunder TR M Training & Gym Shoes For Men,REEBOK,"₹1,824"
453,Cool Rajasthani Jutis For Men Mojaris For Men Nagra For...,Vellinto,₹499
454,TRAIL SCOUT 3 Running Shoes For Men,Asics,"₹3,244"
455,Breeze Glide Running Shoes For Men,REEBOK,"₹1,584"
456,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
457,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
458,COREY TRIM Loafers For Men,Bata,"₹1,309"
459,Running Shoes For Men,M7 By Metronaut,₹799
460,NORTH PLUS Running Shoes For Men,CAMPUS,"₹1,274"
461,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
462,Cricket Square Cricket Shoes For Men,PUMA,"₹2,000"
463,Sneakers For Men,RED TAPE,"₹1,039"
464,0224 lestest Formal shoes/Comfortable shoes black/Styli...,Bonsar,₹414
465,"Ankle Length Boots for Men | Soft Cushioned Insole, Sli...",RED TAPE,"₹1,519"
466,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
467,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
468,EQUALIZER 4.0 - BAYLOCK Walking Shoes For Men,Skechers,"₹2,699"
469,Outdoors For Men,WOODLAND,"₹2,349"
470,Premium Attractive Professional Stylish Casual Driving ...,WUGATTI,₹599
471,Cricket Spikes Shoes Cricket Shoes For Men Cricket Shoe...,Proase,"₹1,199"
472,BMW MMS Caven Sneakers For Men,PUMA,"₹3,360"
473,CLUB CULTURE Sneakers For Men,HRX by Hrithik Roshan,₹991
474,Casuals For Men,WOODLAND,"₹2,389"
475,SKECHERS BIONIC TRAIL - ROAD Sneakers For Men,Skechers,"₹4,199"
476,Running Shoes For Men,richerson,"₹1,183"
477,Spring Edge Alpha 1 Sneakers For Men,ATOM,"₹1,435"
478,Stylish and Comfirtable Walking Shoes For Men,Sparx,"₹1,279"
479,CLUB CULTURE Sneakers For Men,HRX by Hrithik Roshan,"₹1,264"
480,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
481,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
482,COSCO Walking/Outdoor/Sports Running Shoes For Men,CLYMB,₹481
483,ACTIVE RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,047"
484,Walking Shoes For Men,RED TAPE,"₹1,149"
485,DYNAMIC RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,287"
486,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
487,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
488,Equalizer 3.0 Walking Shoes For Men,Skechers,"₹2,999"
489,Fire run Running Shoes For Men,PUMA,"₹1,589"
490,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
491,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹326
492,D'LUX WALKER-COMMUTER Walking Shoes For Men,Skechers,"₹3,479"
493,FOCUS Running Shoes For Men,GO RIDE,₹812
494,Sneakers For Men,RED TAPE,"₹1,039"
495,Disperse XT 2 Training & Gym Shoes For Men,PUMA,"₹2,492"
496,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
497,Running Shoes For Men,BERSACHE,₹882
498,TERMINATOR (N) Running Shoes For Men,CAMPUS,"₹1,389"
499,GEL CONTEND 5B Running Shoes For Men,Asics,"₹2,153"
500,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
501,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
502,"Nexon-03 Black Gym,Sports,Casual,Walking,Stylish Runnin...",asian,₹699
503,FITMAN-103 Loafers For Men,BRUTON,₹149
504,Softride Cruise 2 Running Shoes For Men,PUMA,"₹2,749"
505,Bouncer-01 Running shoes for boys | sports shoes for me...,asian,₹599
506,"Bersache Sports Shoes For Men|Blue For Running,Walking,...",BERSACHE,₹949
507,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
508,Breeze Glide Running Shoes For Men,REEBOK,"₹1,584"
509,"Paradise-01 Sneakers,Loafers,Casuals Sneakers For Women",asian,₹689
510,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹882
511,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹949
512,Comfort wonderer mule M Slip On Sneakers For Men,REEBOK,"₹1,728"
513,Loafers For Men,AJANTA,₹289
514,OZONE (N) Running Shoes For Men,CAMPUS,₹739
515,Derby For Men,Bata,₹629
516,"Bersache Sports Shoes For Men| (Blue) For Running,Walki...",BERSACHE,"₹1,113"
517,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹911
518,Classic Handmade Leather Shoes Boots For Men,Allen Cooper,"₹1,563"
519,RUMBLE Running Shoes For Men,CAMPUS,"₹1,159"
520,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
521,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
522,ASSG1268 Running Shoes For Men,Abros,"₹2,211"
523,Spectrum Walking Shoes For Men,PUMA,"₹1,592"
524,"SPECIAL 001 Sports shoes, Running, Walking, Lightweight...",JQR,₹799
525,"RUMBA Sports shoes, Running, Walking, Lightweight, Gym,...",JQR,"₹1,199"
526,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
527,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
528,Outdoor Shoe For Men,WOODLAND,"₹2,329"
529,City Central M Running Shoes For Men,REEBOK,"₹1,634"
530,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
531,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹326
532,Stride Runner M Running Shoes For Men,REEBOK,"₹1,047"
533,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
534,Stylish and Comfirtable Shoes For Mens Walking Shoes Fo...,Sparx,"₹1,193"
535,RECARDO-E Walking Shoes For Men,LIBERTY,₹769
536,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
537,Running Shoes For Men,BERSACHE,₹882
538,COMFORT INFUSED M Running Shoes For Men,REEBOK,"₹1,920"
539,StreetAhead M Casuals For Men,ADIDAS,"₹1,259"
540,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
541,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
542,Creta-12 sports shoes for men | Latest Stylish Casual s...,asian,₹740
543,Gambito M Running Shoes For Men,ADIDAS,"₹1,849"
544,"Thar-01 Grey Sneakers,Sports,Training,Gym,Walking,Styli...",asian,₹749
545,Running Shoes For Women,Sparx,₹999
546,"Bersache Sports Shoes For Men|Blue For Running,Walking,...",BERSACHE,₹949
547,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
548,Cricket Shoes For Men,New Balance,"₹2,940"
549,"MAX Sports shoes, Running, Walking, Lightweight, Gym, S...",JQR,"₹1,119"
550,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹882
551,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹949
552,Rebound v6 High Tops For Men,PUMA,"₹2,800"
553,Downshifter 11 Sneakers For Men,NIKE,"₹3,076"
554,Century-12 Running shoes for boys | sports shoes for me...,asian,₹599
555,Casual Loafers For Men,AJANTA,₹289
556,"Bersache Sports Shoes For Men| (Blue) For Running,Walki...",BERSACHE,"₹1,113"
557,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹911
558,Lightweight Sports walking Trekking Hiking Shoes with H...,BERSACHE,"₹1,249"
559,GEL-PHOENIX 7B Running Shoes For Men,Asics,"₹2,624"
