,Shoes_Description,Shoes_brand,Shoes_Prices
87,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
88,FITMAN Loafers For Men,BRUTON,₹149
89,"Airweave-02 Navy Gym,Sports,Training,Stylish Running Sh...",asian,"₹1,499"
90,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
91,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
92,GEL-CONTEND 4B+ Running Shoes For Men,Asics,"₹2,246"
93,Fairweather 2.0 M Training & Gym Shoes For Men,REEBOK,"₹1,879"
94,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
95,INTER CEPTOR-3 Running Shoes For Men,Abros,₹697
96,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
97,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
98,"RAINBOW Sports shoes, Running, Walking, Lightweight, Gy...",JQR,₹749
99,SL-170 Running Shoes For Women,Sparx,₹769
100,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
101,Running Shoes For Men,BERSACHE,₹882
102,wndr-13 sports shoes for men | Latest Stylish Casual sp...,asian,₹599
103,HURRICANE Running Shoes For Men,CAMPUS,₹749
104,Bridge Comfort Running Shoes For Men,PUMA,"₹1,299"
105,"Delta-21 Grey Sports,Walking,Casual, Running Shoes For ...",asian,₹799
106,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
107,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
108,Derby For Men,Bata,₹609
109,"ZOOM SPORTFOAM spandex knitted upper lace up,lightweigh...",JQR,₹999
110,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
111,"Bersache Sports Shoes For Men|Blue For Running,Walking,...",BERSACHE,₹949
112,"Plasma-05 Black Sports,Walking,Casual,Gym, Running Shoe...",asian,₹599
113,Ree fusion M Walking Shoes For Men,REEBOK,"₹1,344"
114,MAGNUS Lace Up For Men,Bata,₹849
115,Stylish casual partywear women heeled boots Boots For W...,FLEXIFEET,₹499
116,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
117,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹882
118,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹882
119,Casuals For Men,WOODLAND,"₹2,569"
120,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
121,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
122,"MAX Sports shoes, Running, Walking, Lightweight, Gym, S...",JQR,"₹1,119"
123,Running Shoes For Men,Sparx,₹679
124,ACTIVE RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,047"
125,HURRICANE Running Shoes For Men,CAMPUS,₹749
126,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
127,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,159"
128,Slip On For Men,INVICTUS,"₹1,219"
129,MILAN Running Shoes For Men,CAMPUS,₹839
130,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
131,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹326
132,GEL-CONTEND 4B+ Running Shoes For Men,Asics,"₹2,246"
133,Jauntza M Running Shoes For Men,ADIDAS,"₹1,389"
134,Crunch Runner Casuals For Men,REEBOK,"₹1,720"
135,Running Shoes For Men,asian,₹649
